count	name
6	azido
6	benzene petrol
6	Boc
6	Bunte salt
6	carbonyl
6	cellulose
6	coloured crystals
6	Compound 11
6	compound 12
6	Compound 151
6	Compound 21
6	Compound 5
6	compound 90
6	Compound A
6	d8
6	desired salt
6	dichloromethane-ether
6	dimethyl oxosulphonium methylide
6	dry crystal
6	ether-petroleum ether
6	Example 1
6	Farnesene
6	ferric chloride
6	Fluoroelastomer
6	Formula 6
6	Formula IV
6	formula VI
6	hemi-hydrate
6	hexanes ethyl acetate methylene chloride
6	intermediate 2
6	intermediate 21
6	intermediate 31
6	intermediate 47
6	intermediate 88
6	intermediate 93
6	KX2-di-HCl
6	lactam
6	melamine resin
6	N-Boc
6	N-carbobenzyloxy
6	(NH4)2CO3
6	objective compound
6	oily material
6	one
6	orange-red solid
6	organocalcium
6	pale orange solid
6	pale yellow oil
6	pentapyridinium
6	petroleum ether-ethyl acetate
6	phenols
6	phenylthiothethanol
6	pink powder
6	poly 3-hydroxybutyrate
6	pure material
6	pyridinium salt
6	racemic cis-2-hydroxy-4-cyclopentene-1-acetic acid lactone
6	required product
6	resultant residue
6	resultant solution
6	Schiff's base
6	siloxanes
6	SnO2
6	sodium fluosilicate
6	solution A
6	Solvent B
6	starch
6	succinate ester
6	tan crystals
6	title compound A
6	triarylmethane
6	tricyclodecenyl acrylate
6	vinyl esters
6	XI
6	XVIII
6	yellow crystal
5	0.052
5	0.21
5	0.22
5	0.40
5	0.517
5	06044A
5	102
5	10.4
5	11-methyl-5-oxo-6,11-dihydro-5H-5I4-thia-11-aza-benzo[a]fluoren-8-ol
5	12.7
5	12.8
5	134.5
5	( 139 )
5	14.0
5	141
5	14.7
5	15.1
5	161.3
5	168
5	17.2
5	18.3
5	19.8
5	1,9-lactone
5	1a
5	1d
5	1v/v
5	1-(α-methylbenzyl)-3-(N-t-butyloxycarbonyl-1'-N-methylaminoethyl)pyrrolidines
5	#2
5	200
5	207
5	2-(2,3-Dimethoxy)phenoxy-3-nitropyridine
5	2-(2-Methoxy)phenoxy-3-nitropyridine
5	23.98
5	2-(3-diisopropylamino)-1-(phenylpropyl)-4-hydroxymethyl-phenol
5	25.1
5	251.5
5	25.8
5	26.4
5	26.5
5	26a
5	2.7
5	272
5	276
5	2-aza-1,1-diphenyl-3-(pyridyl)prop-2-ene
5	2-methoxy-3,4-methylenedioxy-N-methylbenzylamino dimethylacetal
5	3.01
5	30.5
5	31.7
5	3-(2-Isopropoxy)-4-nitrotoluene
5	33.5
5	34.5
5	34.6
5	34.9
5	( 39 )
5	3-Cyclopentanesulfanyl-4-nitrotoluene
5	3R-Methylamino-1-(methanesulfonyl)pyrrolidine
5	43.2
5	43.7
5	45.5
5	4-Alkoxy-2-fluoro-3-phenoxyphenylacetic acid
5	4-((N-(1,2-dihydro-1-oxobenzo[f]quinazolin-3-yl)pivalamide)-9-yl)amino
5	4R
5	54.93
5	56.4
5	58.5
5	5.9
5	67.6
5	6,7-Methoxy-3-thiophen-2-yl-1H-quinoxalin-2-one
5	69.5
5	6-phenethyl
5	7
5	7.87
5	802.82
5	( 80MF2225 )
5	82
5	84
5	8-(tert-butyl-dimethyl-silanyloxy)-11-[4-(2-piperidin-1-yl-ethoxy)-benzyl]-6,11-dihydro-5-thia-11-aza-benzo[a]fluorine
5	adduct
5	allyl ester
5	Amide
5	amines
5	B2
5	b-2-phenylethyl methacrylate
5	benzene petroleum ether
5	benzene-petroleum ether
5	bistrifluoroacetate
5	bis(trifluoroacetic acid)
5	brownish solid
5	brown liquid
5	( C )
5	C5
5	calcium sulfate anhydrite
5	CH2Cl2—
5	clear yellow oil
5	compound 13
5	compound 19
5	compound 1a
5	compound 20
5	Compound 213
5	Compound 236
5	Compound 238
5	Compound 248
5	compound 3
5	compound 31
5	compound 3.1
5	Compound 40
5	compound 43
5	compound ( 5 )
5	Compound 6
5	compound 725
5	compound 767
5	Compound 8
5	compound 9-2
5	compound 9-3
5	compound A
5	compound ( b )
5	Compound B
5	compound XXVIII
5	crude salt
5	crude white solid
5	( D )
5	D1
5	desired crude product
5	diacetoxy butenes
5	diammonium
5	dicarboxylic acid
5	diethylacetal
5	dioxides
5	( E )-isomer
5	Ethyl Acetate Petroleum Ether
5	ethylene glycol Na
5	ethyl pyrazoles
5	EtOAc C6H14
5	EtOAc petrol
5	Example 19
5	fluoroborate ester
5	Formula 11
5	Formula 1A
5	formula 3a
5	Formula 49
5	Formula 53
5	Formula XIX
5	Formula XXI
5	glycol
5	Grignard reagent R3MgX
5	hexanes CH2Cl2
5	hexasodium
5	hydrazide
5	hydrazone
5	hydrofluoride salt
5	hydroxy
5	hydroxymethyl
5	( iii )
5	impure product
5	intermediate 26
5	intermediate 50
5	intermediate 60
5	intermediate 65
5	intermediate 71
5	( K )
5	light brown oil
5	lower alkyl ester
5	maleic acid ester
5	methyl
5	methylester
5	methyl ester hydrochloride
5	molecular oxygen
5	monoester
5	monoformate
5	N-2-(2-Methoxyphenoxy)phenyl-N′-(thiazol-2-yl)urea
5	nicotinate ester
5	N-methyl
5	n-phenyl maleimide
5	Nα-(4-nitrobenzenesulfonyl)-Nα-isobutyl-Nε-[N′α-(4-methylbenzenesulfonyl)-L-tryptophanyl]-L-lysine
5	orange-yellow oil
5	( P )
5	polystyrene
5	protio-dehalogenated
