name	smiles	source
tetrakistriphenyl phosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
trimethylsilyl	C[Si](C)C	OPSIN
Palladium tetrakis-triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
allyl	[CH2]C=C	OPSIN
fluoro	[F]	OPSIN
molecular oxygen	O=O	OPSIN
tetrakis triphenylphosphine palladium(0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Tetrakistriphenylphosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
carboxyl	O=[C]O	OPSIN
cupric acetate monohydrate	CC(=O)[O-].CC(=O)[O-].O.[Cu+2]	OPSIN
ethanol-benzene	CCO.c1ccccc1	OPSIN
methanol-benzene	CO.c1ccccc1	OPSIN
cephem	O=C1C[C@H]2SCC=CN12	OPSIN
divinylsiloxane	C=C[Si]([O])C=C	OPSIN
mercuric sulphate	O=S(=O)([O-])[O-].[Hg+2]	OPSIN
t-butyldimethylsilyl	C[Si](C)C(C)(C)C	OPSIN
Ceric ammonium nitrate	O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ce+4].[NH4+]	OPSIN
Palladium tetrakis triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
di-isopropylazodicarboxylate	CC(C)OC(=O)N=NC(=O)OC(C)C	OPSIN
isopropyl	C[CH]C	OPSIN
tetrahydropyranyl	[CH]1CCCCO1	OPSIN
1,8-diazabicyclo-[5.4.0]-7-undecene	C1CCC2=NCCCN2CC1	OPSIN
Palladium tetrakistriphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
azido	[N]=[N+]=[N-]	OPSIN
keto	[O]	OPSIN
Cbz	O=[C]OCc1ccccc1	OPSIN
Cuprous bromide	[Cu][Br]	OPSIN
benzyloxycarbonyl	O=[C]OCc1ccccc1	OPSIN
chloromethyl	[CH2]Cl	OPSIN
trityl	c1ccc([C](c2ccccc2)c2ccccc2)cc1	OPSIN
Mercuric acetate	CC(=O)[O-].CC(=O)[O-].[Hg+2]	OPSIN
aminomethyl	[CH2]N	OPSIN
bis(2-methoxyethyl)azodicarboxylate	COCCOC(=O)N=NC(=O)OCCOC	OPSIN
chromic oxide	[Cr+3].[Cr+3].[O-2].[O-2].[O-2]	OPSIN
palladium tetrakis-triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
tert-butyl	C[C](C)C	OPSIN
tetrakis-triphenylphosphine palladium (0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
tris-(dibenzylideneacetone) dipalladium(0)	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]	OPSIN
Cupric acetate	CC(=O)[O-].CC(=O)[O-].[Cu+2]	OPSIN
[9-(2,2-dimethyl-propyl)-8-oxo-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(R)-cyclohepta[e]inden-7-yl]-carbamic acid benzyl ester	CC(C)(C)CN1Cc2c(ccc3[nH]ncc23)C[C@@H](NC(=O)OCc2ccccc2)C1=O	OPSIN
palladium tetrakistriphenyl phosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
sulfinyl	O=S	OPSIN
tert-butyloxy carbonyl	CC(C)(C)O[C]=O	OPSIN
tetrakis triphenyl phosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Ferric chloride hexahydrate	O.O.O.O.O.O.[Cl][Fe]([Cl])[Cl]	OPSIN
Mercuric chloride	[Cl][Hg][Cl]	OPSIN
Tetrakistriphenylphosphine Palladium(0)	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
dimethylaminomethylene	[CH]N(C)C	OPSIN
manganous acetate tetrahydrate	CC(=O)[O-].CC(=O)[O-].O.O.O.O.[Mn+2]	OPSIN
mercapto	[SH]	OPSIN
mercuric perchlorate hydrate	O.[Hg+2].[O-][Cl+3]([O-])([O-])[O-].[O-][Cl+3]([O-])([O-])[O-]	OPSIN
mercuric trifluoroacetate	O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[Hg+2]	OPSIN
morpholino	C1COCC[N]1	OPSIN
palladium (0) tetrakis-triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
stannous octanoate	CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Sn+2]	OPSIN
2-methyl-2-oxiranylmethyl(S)-4-nitrobenzenesulfonate	CC1(CC2CO2)C=C([N+](=O)[O-])C=C[C@@H]1S(=O)(=O)[O-]	OPSIN
5-amino-5-carboxy-valeryl	NC(CCC[C]=O)C(=O)O	OPSIN
Bis-triphenylphosphine palladium dichloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Molecular Oxygen	O=O	OPSIN
N,N-dimethylmethyleneiminium iodide	C=[N+](C)C.[I-]	OPSIN
Tetrakis triphenylphosphine palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
bistriphenylphosphine palladium chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
chloroform	ClC(Cl)Cl	OPSIN
cyclopentadienyl	[CH]1C=CC=C1	OPSIN
di-t-butylazodicarboxylate	CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C	OPSIN
ethanol-dioxane	C1COCCO1.CCO	OPSIN
manganic acetate	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Mn+3]	OPSIN
methanol-dioxane	C1COCCO1.CO	OPSIN
palladium(0) tetrakis-triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
potassium tertiary-butylate	CC(C)(C)[O-].[K+]	OPSIN
sulfonyl	O=S=O	OPSIN
thio	[S]	OPSIN
Bis tritertbutylphosphine palladium	CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd]	OPSIN
Bistriphenylphosphine dichloropalladium (II)	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
Methyl	[CH3]	OPSIN
bis-tri-o-tolylphosphine palladium(II) chloride	Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.[Cl][Pd][Cl]	OPSIN
bromomethyl	[CH2]Br	OPSIN
carboxy	O=[C]O	OPSIN
cyclohexyl	[CH]1CCCCC1	OPSIN
di-palladium tris(dibenzylideneacetone)	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]	OPSIN
ethyl hexane	CCCCCCCC	OPSIN
mercuric sulfide	[S]=[Hg]	OPSIN
palladium (0) tetrakis triphenylphosphine	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
phenyl	[c]1ccccc1	OPSIN
potassium bis-(trimethylsilylamide)	C[Si](C)(C)[NH-].C[Si](C)(C)[NH-].[K+].[K+]	OPSIN
tert-butyl-oxycarbonyl	CC(C)(C)O[C]=O	OPSIN
tetrahydrofuran-ethyl acetate heptane	C1CCOC1.CCCCCCC.CCOC(C)=O	OPSIN
(+)-L-ε-hydroxynorleucine	N[C@@H](CCCCO)C(=O)O	OPSIN
(5S,6S)- and (5S,6R)-6-(3-butylthio-1,2,5-thiadiazol-4-yl)-1-azabicyclo[3.2.1]octane	CCCCSc1nsnc1C1CN2CCC[C@@H]1C2	OPSIN
(5S,6S)- and (5S,6R)-6-(3-chloro-1,2,5-thiadiazol-4-yl)-1-azabicyclo[3.2.1]octane	Clc1nsnc1C1CN2CCC[C@@H]1C2	OPSIN
70/30/1 ethyl acetate methanol ammonium hydroxide	CCOC(C)=O.CO.[NH4+].[OH-]	OPSIN
Cuprous oxide	[O]=[Cu-]	OPSIN
Di-isopropylazodicarboxylate	CC(C)OC(=O)N=NC(=O)OC(C)C	OPSIN
