dataset_id,position,signature,count,example
5415f83da68e4797856ddd330dda5c61,outcomes[].analyses{}.instrument_last_calibrated,,48,
5415f83da68e4797856ddd330dda5c61,provenance.record_created.time,DAY MON NN NN:NN:NN NNNN,48,Thu Jul 18 18:22:17 2024
5415f83da68e4797856ddd330dda5c61,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,48,Wed Nov  6 21:19:45 2024
5481550056a14935b76e031fb94b88be,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",30000,"02/17/2021, 15:26:49"
5481550056a14935b76e031fb94b88be,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,60000,Wed Feb 17 23:14:42 2021
5481550056a14935b76e031fb94b88be,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,30000,2021-11-05 15:37:37.034278
5540e162c09f4c04905ddc8ba9c931c6,outcomes[].analyses{}.instrument_last_calibrated,,22,
5540e162c09f4c04905ddc8ba9c931c6,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",3,"06/17/2021, 10:57:55"
5540e162c09f4c04905ddc8ba9c931c6,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,3,Sat Jun 26 12:54:27 2021
55de08a995554f558c25fc43eac62359,outcomes[].analyses{}.instrument_last_calibrated,,96,
55de08a995554f558c25fc43eac62359,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",48,"04/21/2021, 16:29:13"
55de08a995554f558c25fc43eac62359,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,48,Tue Apr 27 21:52:02 2021
5c9a10329a8a48968d18879a48bb8ab2,outcomes[].analyses{}.instrument_last_calibrated,,9632,
5c9a10329a8a48968d18879a48bb8ab2,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",9632,"08/05/2024, 11:33:06"
5c9a10329a8a48968d18879a48bb8ab2,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,9632,Sat Nov 16 18:12:57 2024
5c9a10329a8a48968d18879a48bb8ab2,provenance.record_modified[].time,"NN/NN/NNNN, NN:NN:NN",19264,"08/05/2024, 11:34:02"
5e8318f0dda04b398c14f4c3adfeb32c,outcomes[].analyses{}.instrument_last_calibrated,,58,
5e8318f0dda04b398c14f4c3adfeb32c,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",24,"05/12/2024, 15:29:23"
